"","Open","High","Low","Close","rsi","fastK","fastD","slowD","SMI","signal","SMA","futureprice22","futureprice23","futureprice24","futureprice25","futureprice26","futureprice27","futureprice28"
"2000-10-13",20.249992,0.395089,0.357143,22.062488,27.5826302754477,0.082455541914704,0.0400851275761034,0.0232798179312816,-78.80261128822,-63.0091354374281,48.85945176,20.249992,19.875016,19.000016,18.499992,18.93752,18.812528,18.499992
"2000-10-16",22.312528,0.415179,0.381696,21.500024,27.1163448753305,0.0684688902521715,0.0583264787155119,0.0380689042440699,-79.5858277441553,-66.3244738987735,48.63601456,19.875016,19.000016,18.499992,18.93752,18.812528,18.499992,19.312496
"2000-10-17",21.687512,0.391741,0.351563,20.125,25.9609334083933,0.0288285815763134,0.0599176712477298,0.0527764258464486,-79.8300524912894,-69.0255896172767,48.40093664,19.000016,18.499992,18.93752,18.812528,18.499992,19.312496,18.68748
"2000-10-18",19.437488,0.376116,0.334821,20.125,25.9609334083933,0.134148473524334,0.0771486484509398,0.0651309328047274,-79.6785224419382,-71.156176182209,48.17031184,18.499992,18.93752,18.812528,18.499992,19.312496,18.68748,18.031272
"2000-10-19",19.156256,0.353795,0.327009,18.93752,24.8983536280681,0.0740757947833015,0.0790176166279832,0.0720279787755512,-79.6505900872125,-72.8550589632097,47.92187456,18.93752,18.812528,18.499992,19.312496,18.68748,18.031272,17.562496
"2000-10-20",19.062512,0.363839,0.33817,19.499984,26.4342780859348,0.177566571763524,0.128596946690387,0.0949210705897702,-79.3867911501349,-74.1614054005948,47.6968744,18.812528,18.499992,19.312496,18.68748,18.031272,17.562496,16.500008
"2000-10-23",20.265616,0.367188,0.347098,20.374984,28.8713208375745,0.333330316496367,0.194990894347731,0.134201819222034,-78.6089702317946,-75.0509183668347,47.4549992,18.499992,19.312496,18.68748,18.031272,17.562496,16.500008,17.062528
"2000-10-24",20.68752,0.372768,0.335938,18.875024,27.2074060084547,0.0909123820039645,0.200603090087952,0.174730310375357,-78.3227165286095,-75.7052779991897,47.18093688,19.312496,18.68748,18.031272,17.562496,16.500008,17.062528,16.687496
"2000-10-25",19.062512,0.342634,0.329241,18.499992,26.7916512276727,0.0379720993535219,0.154071599284618,0.183221861240101,-78.4122395267617,-76.2466703047041,46.9093744,18.68748,18.031272,17.562496,16.500008,17.062528,16.687496,16.999976
"2000-10-26",18.812528,0.337054,0.3125,18.499992,26.7916512276727,0.17391092628483,0.100931802547439,0.151868830640003,-78.225480161281,-76.6424322760195,46.62999936,18.031272,17.562496,16.500008,17.062528,16.687496,16.999976,14.31248
"2000-10-27",18.875024,0.342634,0.319196,18.562488,27.0072187295165,0.18477975048452,0.132220925374291,0.129074775735449,-77.8970291004602,-76.8933516409076,46.33281184,17.562496,16.500008,17.062528,16.687496,16.999976,14.31248,14.31248
"2000-10-30",19.125008,0.356027,0.334821,19.312496,29.6831825733778,0.315215379970588,0.224635352246646,0.152596026722792,-77.0336255799738,-76.9214064287209,46.0518744,16.500008,17.062528,16.687496,16.999976,14.31248,14.31248,15.062488
"2000-10-31",19.750024,0.361607,0.34375,19.56248,30.5964812312105,0.358690676769349,0.286228602408153,0.214361626676363,-75.7979235822758,-76.6967098594318,45.76874904,17.062528,16.687496,16.999976,14.31248,14.31248,15.062488,15.18748
"2000-11-01",19.437488,0.372768,0.347098,20.499976,34.0556601997667,0.521732778854489,0.398546278531476,0.303136744395425,-73.7531266239623,-76.1079932123379,45.51781136,16.687496,16.999976,14.31248,14.31248,15.062488,15.18748,15.375024
"2000-11-02",21.124992,0.40067,0.376116,22.312528,40.2556906415799,0.836957897914862,0.572460451179567,0.419078444039732,-69.9689798329521,-74.8801905364608,45.26843664,16.999976,14.31248,14.31248,15.062488,15.18748,15.375024,14.999992
"2000-11-03",22.999984,0.410714,0.391741,22.249976,40.115517725786,0.86363451239131,0.740775063053554,0.570593930921533,-65.6301814358526,-73.0301887163392,45.03874872,14.31248,14.31248,15.062488,15.18748,15.375024,14.999992,14.437528
